0.001,0.314
0.002,0.323
0.003,0.333
0.004,0.344
0.005,0.334
0.006,0.348
0.007,0.35
0.008,0.351
0.009,0.348
0.01,0.345
0.011,0.331
0.012,0.325
0.013,0.318
0.014,0.325
0.015,0.318
0.016,0.32
0.017,0.334
0.018,0.344
0.019,0.349
0.02,0.338
0.021,0.365
0.022,0.367
0.023,0.327
0.024,0.334
0.025,0.346
0.026,0.327
0.027,0.331
0.028,0.357
0.029,0.329
0.03,0.389
0.031,0.358
0.032,0.352
0.033,0.321
0.034,0.339
0.035,0.342
0.036,0.322
0.037,0.321
0.038,0.352
0.039,0.359
0.04,0.346
0.041,0.351
0.042,0.332
0.043,0.297
0.044,0.354
0.045,0.334
0.046,0.323
0.047,0.344
0.048,0.33
0.049,0.382
0.05,0.351
0.051,0.34
0.052,0.319
0.053,0.331
0.054,0.348
0.055,0.322
0.056,0.338
0.057,0.345
0.058,0.376
0.059,0.34
0.06,0.346
0.061,0.338
0.062,0.325
0.063,0.34
0.064,0.338
0.065,0.321
0.066,0.327
0.067,0.324
0.068,0.349
0.069,0.35
0.07,0.353
0.071,0.344
0.072,0.338
0.073,0.351
0.074,0.327
0.075,0.327
0.076,0.336
0.077,0.384
0.078,0.331
0.079,0.345
0.08,0.342
0.081,0.327
0.082,0.337
0.083,0.34
0.084,0.311
0.085,0.332
0.086,0.402
0.087,0.345
0.088,0.339
0.089,0.353
0.09,0.323
0.091,0.319
0.092,0.337
0.093,0.332
0.094,0.321
0.095,0.34
0.096,0.38
0.097,0.331
0.098,0.344
0.099,0.343
0.1,0.325
0.101,0.334
0.102,0.346
0.103,0.34
0.104,0.334
0.105,0.413
0.106,0.36
0.107,0.321
0.108,0.349
0.109,0.337
0.11,0.322
0.111,0.338
0.112,0.335
0.113,0.323
0.114,0.338
0.115,0.401
0.116,0.332
0.117,0.339
0.118,0.357
0.119,0.331
0.12,0.334
0.121,0.353
0.122,0.326
0.123,0.329
0.124,0.385
0.125,0.35
0.126,0.326
0.127,0.341
0.128,0.334
0.129,0.317
0.13,0.335
0.131,0.341
0.132,0.321
0.133,0.361
0.134,0.365
0.135,0.34
0.136,0.331
0.137,0.353
0.138,0.329
0.139,0.316
0.14,0.347
0.141,0.335
0.142,0.314
0.143,0.382
0.144,0.355
0.145,0.322
0.146,0.327
0.147,0.346
0.148,0.316
0.149,0.327
0.15,0.36
0.151,0.321
0.152,0.365
0.153,0.364
0.154,0.344
0.155,0.33
0.156,0.336
0.157,0.334
0.158,0.321
0.159,0.341
0.16,0.339
0.161,0.322
0.162,0.387
0.163,0.348
0.164,0.322
0.165,0.341
0.166,0.326
0.167,0.341
0.168,0.321
0.169,0.35
0.17,0.329
0.171,0.361
0.172,0.362
0.173,0.34
0.174,0.323
0.175,0.34
0.176,0.344
0.177,0.334
0.178,0.319
0.179,0.342
0.18,0.345
0.181,0.355
0.182,0.392
0.183,0.33
0.184,0.336
0.185,0.346
0.186,0.33
0.187,0.33
0.188,0.341
0.189,0.334
0.19,0.358
0.191,0.348
0.192,0.348
0.193,0.321
0.194,0.325
0.195,0.343
0.196,0.319
0.197,0.342
0.198,0.341
0.199,0.37
0.2,0.349
0.201,0.364
0.202,0.351
0.203,0.312
0.204,0.342
0.205,0.333
0.206,0.32
0.207,0.337
0.208,0.34
0.209,0.376
0.21,0.344
0.211,0.349
0.212,0.32
0.213,0.332
0.214,0.356
0.215,0.326
0.216,0.32
0.217,0.336
0.218,0.401
0.219,0.345
0.22,0.352
0.221,0.333
0.222,0.323
0.223,0.337
0.224,0.339
0.225,0.318
0.226,0.333
0.227,0.344
0.228,0.348
0.229,0.357
0.23,0.336
0.231,0.335
0.232,0.325
0.233,0.35
0.234,0.349
0.235,0.309
0.236,0.34
0.237,0.41
0.238,0.334
0.239,0.339
0.24,0.335
0.241,0.317
0.242,0.332
0.243,0.342
0.244,0.324
0.245,0.331
0.246,0.401
0.247,0.343
0.248,0.345
0.249,0.346
0.25,0.328
0.251,0.316
0.252,0.339
0.253,0.333
0.254,0.326
0.255,0.339
0.256,0.391
0.257,0.328
0.258,0.335
0.259,0.346
0.26,0.323
0.261,0.34
0.262,0.347
0.263,0.34
0.264,0.323
0.265,0.372
0.266,0.352
0.267,0.326
0.268,0.343
0.269,0.341
0.27,0.324
0.271,0.355
0.272,0.332
0.273,0.322
0.274,0.332
0.275,0.379
0.276,0.34
0.277,0.331
0.278,0.355
0.279,0.328
0.28,0.326
0.281,0.341
0.282,0.335
0.283,0.318
0.284,0.388
0.285,0.356
0.286,0.354
0.287,0.328
0.288,0.346
0.289,0.319
0.29,0.331
0.291,0.343
0.292,0.324
0.293,0.354
0.294,0.358
